NIVEL;DESCRIÇÃO ITEM;QUANTIDADE ITEM;COMPRIMENTO;PESO ITEM;CÓDICO ITEM;PROCESSOS;MASCARA ENTRADA;MASCARA SAÍDA;NATUREZA;HASH;LARGURA
93.1.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;1,15;;1;1010010004;;;;;;
93.2;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 1150MM";8;115 CM;12,512 KG;3010013360;;;;;;
93.2.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";1,15;;1;1010020001;;;;;;
93.3;"BARRA CHATA DE ALUMINIO C/ DENTE 2"" X 3/8"" X 287MM";8;28,7 CM;3,12256 KG;;CS F;301001;301001;3;NEO20260128f696;5,08 CM
93.3.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,28;;1;1010020001;;;;;;
93.4;PERFIL DE ALUMINIO TRAVESSA 150 X 287MM;12;28,7 CM;5,8548 KG;;CS;301028;301028;3;NEO202601281c00;15 CM
93.4.1;PERFIL DE ALUMÍNIO TRAVESSA 150 X 6000MM;0,28;;1;1010030003;;;;;;
94;PAINEL LAJE-L-60X126;3;;41;;S;301009;301009;3;NEO2026012868c9;
94.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 580MM";6;58 CM;4,7328 KG;3010120001;;;;;;
94.1.1;"BARRA CHATA DE ALUMÍNIO C/ DENTE 2"" X 3/8"" X 6000MM";0,58;;1;1010020001;;;;;;
94.2;BARRA CHATA DE ALUMINIO LISA C/ ENCAIXE X 1260MM;6;126 CM;10,2816 KG;;CS F;301001;301001;3;NEO202601286841;5,48 CM
94.2.1;BARRA CHATA DE ALUMÍNIO LISA C/ ENCAIXE 6000MM;1,26;;1;1010020004;;;;;;
94.3;CHAPA DE ALUMINIO 5052 H34  #4,00MM 590 X 1260MM;3;126 CM;24,08616 KG;;CG C;301014;301014;3;NEO20260128a3df;59 CM
94.3.1;CHAPA DE ALUMÍNIO 5052 H34 1500 X 3000 #4,00MM;1,26;;1;1010010004;;;;;;
94.4;"PERFIL DE ALUMINIO ""U"" 1 1/2"" X 1/8"" X 580MM";9;58 CM;3,8628 KG;;CS;301028;301028;3;NEO202601283535;3,81 CM
